description,location,price_naira,bedrooms,bathrooms,city,house_type,building_age
Newly Built Luxury 2 Bedroom Flat,"Sabo, Ikorodu Lagos",1500000.0,2.0,2.0,Ikorodu,flat & apartment,New
Executive 4 Bedroom Flat Self Compound,"Greenleaf Estate, Olu Odo, Ebute Ikorodu Lagos",3000000.0,4.0,4.0,Ikorodu,flat & apartment,Old
Newly Built 2 Bedroom Duplex With Bq,Ikate Lekki Lagos,10000000.0,2.0,2.0,Lekki,duplex,New
5 Bedroom Duplex,Magodo Gra Phase 2 Kosofe Ikosi Lagos,13000000.0,5.0,5.0,Ikosi,duplex,Old
Fully Furnished Luxury 3 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,18000000.0,3.0,3.0,Lekki,flat & apartment,Old
Fully Furnished Luxury 2 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,15000000.0,2.0,3.0,Lekki,flat & apartment,Old
Newly Built 3 Bedroom Flat With Bq And Swimming Pool,Off Adeola Odeku Victoria Island Lagos,30000000.0,3.0,3.0,Victoria Island,flat & apartment,New
Mini Flat,"Serenity Heights Court, Off Davies Street, Ketu Lagos",1500000.0,1.0,2.0,Ketu,flat & apartment,Old
4 Bedroom Townhouse With Bq,Adeola Odeku Victoria Island Lagos,30000000.0,4.0,4.0,Victoria Island,,Old
2 Bedroom Flat,Ilasan Lekki Lagos,6500000.0,2.0,2.0,Lekki,flat & apartment,Old
5 Bedroom Flat,"Palmgroove Estate, Ilupeju Lagos",30000000.0,5.0,5.0,Ilupeju,flat & apartment,Old
Newly Built 3 Bedroom Duplex,Magodo Gra Phase 2 Kosofe Ikosi Lagos,12000000.0,3.0,3.0,Ikosi,duplex,New
Mini Flat,"Serenity Heights Court, Off Davies Street, Ketu Lagos",1500000.0,1.0,2.0,Ketu,flat & apartment,Old
Newly Built 3 Bedroom Duplex,"Cornerstone Estate, Olu Odo, Ikorodu Lagos",3000000.0,3.0,3.0,Ikorodu,duplex,New
2 Bedroom Flat,Soluyi Gbagada Lagos,5000000.0,2.0,2.0,Gbagada,flat & apartment,Old
4 Bedroom Terrace Duplex At Gbagada,Aturanse Estate Y Atunrase Medina Gbagada Lagos,7500000.0,4.0,4.0,Gbagada,duplex,Old
2 Bedroom Flat Ground Floor,Ifako Gbagada Gbagada Lagos,5000000.0,2.0,2.0,Gbagada,flat & apartment,Old
4 Bedroom Terrace Duplex,Ifako Gbagada Gbagada Lagos,7500000.0,4.0,4.0,Gbagada,duplex,Old
4 Bedroom Terraced Duplex,"Aturanse Estate, Atunranse Estate Gbagada Lagos",7500000.0,4.0,4.0,Gbagada,duplex,Old
3 Bedroom Flat,Alapere Ketu Lagos,2000000.0,3.0,2.0,Ketu,flat & apartment,Old
3 Bedroom Flat,Ifako Gbagada Gbagada Lagos,5000000.0,3.0,2.0,Gbagada,flat & apartment,Old
4 Bedroom Terraced Duplex,"Off Coker Road, Coker Road Ilupeju Lagos",12000000.0,4.0,4.0,Ilupeju,duplex,Old
3 Bedroom Flat,Millenuim Ups Gbagada Lagos,6000000.0,3.0,3.0,Gbagada,flat & apartment,Old
4 Bedroom Semi Detached Duplex,Abijo Gra Abijo Ajah Lagos,7500000.0,4.0,5.0,Ajah,duplex,Old
4 Bedroom Detached Duplex,Osborne Foreshore Estate Ikoyi Lagos,40000000.0,4.0,5.0,Ikoyi,duplex,Old
3 Bedroom Apartment,"Royal Palm Will Estate, Badore Ajah Lagos",3800000.0,3.0,4.0,Ajah,flat & apartment,Old
4 Bedroom Semi Detached Duplex,Lekki Palm City Estate Ado Ajah Lagos,6500000.0,4.0,5.0,Ajah,duplex,Old
2 Bedroom Apartment,Ado Ajah Lagos,2500000.0,2.0,3.0,Ajah,flat & apartment,Old
2 Bedroom Apartment,"Royal Palm Will Estate, Badore Ajah Lagos",2800000.0,2.0,3.0,Ajah,flat & apartment,Old
3 Bedroom Apartment,Unity Estate Badore Ajah Lagos,3000000.0,3.0,4.0,Ajah,flat & apartment,Old
2 Bedroom Apartment,Ilasan Lekki Lagos,8000000.0,2.0,4.0,Lekki,flat & apartment,Old
Newly Built 4 Bedroom Terrace Duplex With Bq,Lekki Phase 1 Lekki Lagos,20000000.0,4.0,4.0,Lekki,duplex,New
A Room Self Contained,Royal Palm Will Estate Badore Ajah Lagos,1400000.0,1.0,1.0,Ajah,self-contain,Old
2 Bedroom Apartment,Agungi Lekki Lagos,6500000.0,2.0,3.0,Lekki,flat & apartment,Old
Mini Flat,Close To Ado Road Round About Ado Ajah Lagos,1200000.0,2.0,2.0,Ajah,flat & apartment,Old
2 Bedroom Apartment,Ologolo Lekki Lagos,8000000.0,2.0,3.0,Lekki,flat & apartment,Old
4 Bedroom Terrace Duplex,Parkview Estate Ikoyi Lagos,20000000.0,4.0,5.0,Ikoyi,duplex,Old
3 Bedroom Terrace Duplex,Ikota Gra Ikota Lekki Lagos,15000000.0,3.0,4.0,Lekki,duplex,Old
Standard Two Bedroom Apartment In An Estate,Westwood Estate Badore Ajah Lagos,2800000.0,2.0,3.0,Ajah,flat & apartment,Old
Serviced 2 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,7500000.0,2.0,4.0,Lekki,flat & apartment,Old
Newly Built 3 Bedroom Apartment,Oniru Victoria Island Lagos,20000000.0,3.0,4.0,Victoria Island,flat & apartment,New
Newly Built 2 Bedroom Apartment,Royal Palm Will Estate Badore Ajah Lagos,2800000.0,2.0,3.0,Ajah,flat & apartment,New
2 Bedroom Apartment,Oniru Victoria Island Lagos,10000000.0,2.0,3.0,Victoria Island,flat & apartment,Old
4 Bedroom Semi Detached Duplex,"Lekki Palm City Estate, Ado Ajah Lagos",10000000.0,4.0,5.0,Ajah,duplex,Old
Beautiful Two Bedroom Apartment,Ikate Lekki Lagos,10000000.0,2.0,3.0,Lekki,flat & apartment,Old
2 Bedroom Terraced Duplex,Ologolo Lekki Lagos,6000000.0,2.0,3.0,Lekki,duplex,Old
4 Bedroom Terraced Duplex,Ikota Lekki Lagos,7000000.0,4.0,5.0,Lekki,duplex,Old
4 Bedroom Terraced Duplex,Chevron Alternative Lekki Lagos,7500000.0,4.0,5.0,Lekki,duplex,Old
2 Bedroom Apartment,"Greenville Estate, Badore Ajah Lagos",2200000.0,2.0,3.0,Ajah,flat & apartment,Old
Newly Built 2 Bedroom Apartment,Ilasan Lekki Lagos,6000000.0,2.0,3.0,Lekki,flat & apartment,New
2 Bedroom Apartment,Badore Ajah Lagos,2700000.0,2.0,3.0,Ajah,flat & apartment,Old
Newly Built 2 Bedroom Duplex With Bq,Nike Art Gallery Road Ikate Lekki Lagos,10000000.0,2.0,3.0,Lekki,duplex,New
Furnished 5 Bedroom Detached Duplex With Pool,"Megamond Estate ,lekki Lagos Chevron Lekki Lagos",30000000.0,5.0,5.0,Lekki,duplex,Old
3 Bedroom Apartment With Bq,Off Glover Road Ikoyi Lagos,35000000.0,3.0,4.0,Ikoyi,flat & apartment,Old
2 Bedroom Apartment,Ilasan Lekki Lagos,8000000.0,2.0,3.0,Lekki,flat & apartment,Old
Standard 4 Bedroom Terrace Duplex,Ikoyi Lagos,25000000.0,4.0,5.0,Ikoyi,duplex,Old
4 Bedroom Semi Detached Duplex,Ikate Lekki Lagos,20000000.0,4.0,5.0,Lekki,duplex,Old
2 Bedroom Apartment,"Bera Estate, Chevron Lekki Lagos",6000000.0,2.0,3.0,Lekki,flat & apartment,Old
4 Bedroom Semi Detached Duplex,"Palm Crescent Estate, Badore Ajah Lagos",5000000.0,4.0,5.0,Ajah,duplex,Old
Newly Built Two Bedroom Duplex,Freedom Way Lekki Phase 1 Lekki Lagos,11000000.0,2.0,3.0,Lekki,duplex,New
4 Bedroom Detached Duplex,Lekki Phase 1 Lekki Lagos,40000000.0,4.0,5.0,Lekki,duplex,Old
Sharp 4 Bedroom Detached Duplex With A Bq,Pinnock Estate Osapa London Lekki Lagos,20000000.0,4.0,5.0,Lekki,duplex,Old
Mini Flat,Ado Ajah Lagos,2000000.0,2.0,2.0,Ajah,flat & apartment,Old
Luxurious 5 Bedroom Detached Duplex,Jakande Lekki Lagos,25000000.0,5.0,6.0,Lekki,duplex,Old
3 Bedroom Apartment,"Lekki County Road , Ikota Lekki Lagos",4000000.0,3.0,4.0,Lekki,flat & apartment,Old
3 Bedroom Maisonette,Ikate Lekki Lagos,9000000.0,3.0,4.0,Lekki,maisonette,Old
5 Bedroom Detached Duplex,By Enyo Filling Station Badore Ajah Lagos,6500000.0,5.0,6.0,Ajah,duplex,Old
Newly Built Mini Flat,Royal Palm Will Estate Badore Ajah Lagos,1400000.0,2.0,2.0,Ajah,flat & apartment,New
3 Bedroom Apartment With Balcony,Osapa London Lekki Lagos,7500000.0,3.0,4.0,Lekki,flat & apartment,Old
Mini Flat,Unity Estate Badore Ajah Lagos,1500000.0,2.0,2.0,Ajah,flat & apartment,Old
Newly Built 2 Bedroom Apartment,Unity Estate Badore Ajah Lagos,2300000.0,2.0,3.0,Ajah,flat & apartment,New
Mini Flat,Chevron Lekki Lagos,4000000.0,2.0,2.0,Lekki,flat & apartment,Old
3 Bedroom Flat,Cadogan Estate Osapa London Lekki Lagos,12000000.0,3.0,4.0,Lekki,flat & apartment,Old
4 Bedroom Terrace Duplex,Happy Land Estate Sangotedo Ajah Lagos,7000000.0,4.0,5.0,Ajah,duplex,Old
2 Bedroom Maisonette,Ikate Lekki Lagos,16000000.0,2.0,3.0,Lekki,maisonette,Old
5 Bedroom Terrace Duplex,Platinum Way Ikate Lekki Lagos,10000000.0,5.0,6.0,Lekki,duplex,Old
Newly Built 3 Bedroom Maisonette,Ikate Lekki Lagos,15000000.0,3.0,4.0,Lekki,maisonette,New
Newly Built Two Bedroom Apartment,Lekki Scheme 2 Ajah Lagos,4500000.0,2.0,3.0,Ajah,flat & apartment,New
Well Built Four Bedroom Terrace Duplex,Ikate Lekki Lagos,18000000.0,4.0,5.0,Lekki,duplex,Old
2 Bedroom Penthouse,Royal Palm Will Estate Badore Ajah Lagos,2500000.0,2.0,3.0,Ajah,penthouse,Old
3 Bedroom Apartment With Bq,Oniru Victoria Island Lagos,15000000.0,3.0,4.0,Victoria Island,flat & apartment,Old
4 Bedroom Semi Detached Duplex,Osapa London Lekki Lagos,10000000.0,4.0,5.0,Lekki,duplex,Old
5 Bedroom Detached Duplex,Chevron Lekki Lagos,15000000.0,5.0,6.0,Lekki,duplex,Old
Studio Apartment,Oniru Victoria Island Lagos,5000000.0,2.0,2.0,Victoria Island,flat & apartment,Old
4 Bedroom Terraced Duplex,"Abraham Adesina Road, Abraham Adesanya Estate Ajah Lagos",7000000.0,4.0,5.0,Ajah,duplex,Old
5 Bedroom Fully Detached Duplex,Orchid Lekki Lagos,8000000.0,5.0,6.0,Lekki,duplex,Old
3 Bedroom Apartment,Osapa London Lekki Lagos,8000000.0,3.0,4.0,Lekki,flat & apartment,Old
Standard Mini Flat In An Estate,Even Estate Badore Ajah Lagos,1500000.0,2.0,2.0,Ajah,flat & apartment,Old
Newly Built 4 Bedroom Semi Detached Duplex,Silverpoint Estate Badore Ajah Lagos,6000000.0,4.0,5.0,Ajah,duplex,New
Serviced 3 Bedroom Apartment With Bq,Ikate Lekki Lagos,7000000.0,3.0,4.0,Lekki,flat & apartment,Old
Shared Apartment,Westwood Estate Badore Ajah Lagos,700000.0,2.0,2.0,Ajah,flat & apartment,Old
3 Bedroom Apartment,Chevron Lekki Lagos,6500000.0,3.0,4.0,Lekki,flat & apartment,Old
2 Bedroom Maisonette,Off Freedom Way Lekki Phase 1 Lekki Lagos,12000000.0,2.0,3.0,Lekki,maisonette,Old
3 Bedroom Terraced Duplex,Chevron Alternative Lekki Lagos,6000000.0,3.0,4.0,Lekki,duplex,Old
3 Bedroom Apartment,Ikoyi Lagos,40000000.0,3.0,3.0,Ikoyi,flat & apartment,Old
Standard 5 Bedroom Terrace Duplex,Ikate Lekki Lagos,12000000.0,5.0,6.0,Lekki,duplex,Old
3 Bedroom Terrace Duplex,Ikota Gra Ikota Lekki Lagos,10000000.0,3.0,4.0,Lekki,duplex,Old
Newly Built Mini Flat,Ado Ajah Lagos,2000000.0,2.0,2.0,Ajah,flat & apartment,New
4 Bedroom Semi Detached Duplex,Chevron Alternative Lekki Lagos,8000000.0,4.0,5.0,Lekki,duplex,Old
2 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,7500000.0,2.0,3.0,Lekki,flat & apartment,Old
Newly Built 5 Bedroom Fully Detached Duplex,Osapa London Lekki Lagos,15000000.0,5.0,6.0,Lekki,duplex,New
Newly Built 5 Bedroom Fully Detached Duplex,"Unity Estate, Badore Ajah Lagos",6000000.0,5.0,6.0,Ajah,duplex,New
Standard 2 Bedroom Apartment,Badore Ajah Lagos,2000000.0,2.0,3.0,Ajah,flat & apartment,Old
2 Bedroom Apartment,Unity Estate Badore Ajah Lagos,2500000.0,2.0,3.0,Ajah,flat & apartment,Old
Newly Built 2 Bedroom Apartment,Royal Palm Will Estate Badore Ajah Lagos,2500000.0,2.0,3.0,Ajah,flat & apartment,New
Furnished Two Bedroom Apartment,Ikate Lekki Lagos,13500000.0,2.0,3.0,Lekki,flat & apartment,Old
Standard Mini Flat Duplex,Westwood Estate Badore Ajah Lagos,2200000.0,2.0,2.0,Ajah,flat & apartment,Old
Mini Flat,Oniru Victoria Island Lagos,8000000.0,2.0,2.0,Victoria Island,flat & apartment,Old
2 Bedroom Apartment,Agungi Lekki Lagos,3500000.0,2.0,3.0,Lekki,flat & apartment,Old
Newly Built 2 Bedroom Apartment,Rockstone Villa Estate Badore Ajah Lagos,2500000.0,2.0,3.0,Ajah,flat & apartment,New
Newly Built Bedroom Terrace Duplex,Off Admiralty Way Lekki Phase 1 Lekki Lagos,30000000.0,4.0,5.0,Lekki,duplex,New
Newly Built 2 Bedroom Apartment,Rockstone Estate Badore Ajah Lagos,2500000.0,2.0,3.0,Ajah,flat & apartment,New
3 Bedroom Apartment,Fola Osibo Lekki Phase 1 Lekki Lagos,15000000.0,3.0,4.0,Lekki,flat & apartment,Old
4 Bedroom Terrace Duplex With Bq,Ikate Lekki Lagos,12000000.0,4.0,5.0,Lekki,duplex,Old
Newly Built 2 Bedroom Apartment,Oke Ira Nla Ado Ajah Lagos,2500000.0,2.0,3.0,Ajah,flat & apartment,New
3 Bedroom Apartment With Bq,Lekki Phase 1 Lekki Lagos,30000000.0,3.0,4.0,Lekki,flat & apartment,Old
Newly Built 2 Bedroom Apartment,Ikate Lekki Lagos,10000000.0,2.0,3.0,Lekki,flat & apartment,New
Standard Mini Flat In An Estate,Seaside Estate Badore Ajah Lagos,1200000.0,2.0,2.0,Ajah,flat & apartment,Old
4 Bedroom Terrace Duplex,Argungi/osapa Osapa London Lekki Lagos,10000000.0,4.0,5.0,Lekki,duplex,Old
Newly Built 3 Bedroom Apartment,Salem By Elevation Church Ilasan Lekki Lagos,8000000.0,3.0,4.0,Lekki,flat & apartment,New
Mini Flat,"Royal Palm Will Estate, Badore Ajah Lagos",1500000.0,2.0,2.0,Ajah,flat & apartment,Old
Newly Built 2 Bedroom Apartment,Seaside Estate Badore Ajah Lagos,2800000.0,2.0,3.0,Ajah,flat & apartment,New
3 Bedroom Apartment,Osapa London Lekki Lagos,7500000.0,3.0,4.0,Lekki,flat & apartment,Old
2 Bedroom Maisonette Executive Experience,Ezra Court Lekki Phase 1 Lekki Lagos,160000.0,2.0,2.0,Lekki,maisonette,Old
4 Bedroom Detached Duplex With Bq,Pinnock Estate Osapa London Lekki Lagos,35000000.0,4.0,5.0,Lekki,duplex,Old
Furnished 3 Bedroom Apartment,By Meadow Hall Schooo Ikate Lekki Lagos,14000000.0,3.0,4.0,Lekki,flat & apartment,Old
Newly Built 3 Bedroom Flat,Oniru Estate Oniru Victoria Island Lagos,12000000.0,3.0,4.0,Victoria Island,flat & apartment,New
Beautiful Furnished Two Bedroom Apartment,Ikate Lekki Lagos,8000000.0,2.0,3.0,Lekki,flat & apartment,Old
Mini Flat,"Royal Palm Will Estate, Badore Ajah Lagos",1500000.0,2.0,2.0,Ajah,flat & apartment,Old
2 Bedroom Apartment,Bakeville Estate Badore Ajah Lagos,2000000.0,2.0,3.0,Ajah,flat & apartment,Old
Newly Built Two Bedroom Apartment In An Estate,Seaside Estate Badore Ajah Lagos,4000000.0,2.0,3.0,Ajah,flat & apartment,New
Newly Built 2 Bedroom Apartment,Rockstone Estate Badore Ajah Lagos,2800000.0,2.0,3.0,Ajah,flat & apartment,New
2 Bedroom Duplex,Seaside Estate Badore Ajah Lagos,2500000.0,2.0,3.0,Ajah,duplex,Old
Mini Flat,Orchid Lekki Lagos,4000000.0,2.0,2.0,Lekki,flat & apartment,Old
3 Bedroom Terrace Duplex,Banana Island Ikoyi Lagos,40000000.0,3.0,4.0,Ikoyi,duplex,Old
3 Bedroom Apartment,Ikoyi Lagos,40000000.0,3.0,3.0,Ikoyi,flat & apartment,Old
Mini Flat,"Royal Pine Estate, Orchid Lekki Lagos",4000000.0,2.0,2.0,Lekki,flat & apartment,Old
2 Bedroom Apartment With Bq,Lekki Phase 1 Lekki Lagos,12000000.0,2.0,3.0,Lekki,flat & apartment,Old
Newly Built 3 Bedroom Apartment,Unity Estate Badore Ajah Lagos,3000000.0,3.0,4.0,Ajah,flat & apartment,New
Newly Built 3 Bedroom Apartment,Off Freedom Way Lekki Phase 1 Lekki Lagos,10000000.0,3.0,4.0,Lekki,flat & apartment,New
4 Bedroom Semi Detached Duplex,Chevron Drive Lekki Lagos,12000000.0,4.0,5.0,Lekki,duplex,Old
Standard Mini Flat In An Estate,Rockstone Estate Badore Ajah Lagos,1000000.0,2.0,2.0,Ajah,flat & apartment,Old
Standard 2 Bedroom Apartment,Seaside Estate Badore Ajah Lagos,2500000.0,2.0,3.0,Ajah,flat & apartment,Old
4 Bedroom Terrace Duplex With Bq,Elegushi Off Chisco Bustop Ikate Lekki Lagos,10000000.0,4.0,5.0,Lekki,duplex,Old
Newly Built 4 Bedroom Detached Duplex,Second Toll Gate Lekki Lagos,15000000.0,4.0,5.0,Lekki,duplex,New
Furnished 2 Bedroom Apartment,Ikate Lekki Lagos,15000000.0,2.0,2.0,Lekki,flat & apartment,Old
7 Units Of Serviced 3 Bedroom Apartment,Oniru Victoria Island Lagos,28000000.0,3.0,2.0,Victoria Island,flat & apartment,Old
1 Bedroom Apartment,Orchid Lekki Lagos,2000000.0,1.0,2.0,Lekki,flat & apartment,Old
7 Units Of Mini Flat,Ilogbo Ajangbadi Ojo Lagos,800000.0,2.0,2.0,Ojo,flat & apartment,Old
2 Bedroom Flat,Nike Art Gallery Axis Ikate Lekki Lagos,7000000.0,2.0,3.0,Lekki,flat & apartment,Old
3 Bedroom Flat With Bq,Oniru Victoria Island Lagos,15000000.0,3.0,4.0,Victoria Island,flat & apartment,Old
Room Self Contained,Chisco Ikate Lekki Lagos,1700000.0,1.0,1.0,Lekki,self-contain,Old
Lovely 2 Bedroom Mansionette,Behind Enyo Filling Station Ikate Lekki Lagos,8000000.0,2.0,3.0,Lekki,mansion,Old
4 Bedroom Semi Detached Duplex,By Domino’s Pizza Agungi Lekki Lagos,10000000.0,4.0,5.0,Lekki,duplex,Old
Studio Apartment,Chevy View Chevron Lekki Lagos,2000000.0,1.0,1.0,Lekki,flat & apartment,Old
4 Bedroom Flat,Banana Island Banana Island Ikoyi Lagos,40000000.0,4.0,4.0,Ikoyi,flat & apartment,Old
Lovely 3 Bedroom Flat,Agungi Agungi Lekki Lagos,4000000.0,3.0,4.0,Lekki,flat & apartment,Old
3 Bedroom Penthouse,Chevron Lekki Lagos,6000000.0,3.0,4.0,Lekki,penthouse,Old
2 Bedroom Flat,Kunsenla Ikate Lekki Lagos,5500000.0,2.0,3.0,Lekki,flat & apartment,Old
Lovely 5 Bedroom Fully Detached,Chevron Drive Chevron Lekki Lagos,15000000.0,5.0,6.0,Lekki,,Old
3 Bedroom Flat,Agungi Agungi Lekki Lagos,4000000.0,3.0,5.0,Lekki,flat & apartment,Old
Lovely 4 Bedroom Semi Detached Duplex,Agungi Agungi Lekki Lagos,9000000.0,4.0,5.0,Lekki,duplex,Old
4 Bedroom Semi Detached Duplex,Ologolo Lekki Lagos,8000000.0,4.0,5.0,Lekki,duplex,Old
4 Bedroom Duplex,Femi Okunu Jakande Lekki Lagos,15000000.0,4.0,5.0,Lekki,duplex,Old
Brand New 2 Bedroom Terrace Duplex,Ologolo Lekki Lagos,7000000.0,2.0,3.0,Lekki,duplex,New
4 Bedroom Semi Detached Duplex,Bourdillon Estate Chevron Lekki Lagos,13000000.0,4.0,5.0,Lekki,duplex,Old
Newly Built 4 Bedroom Fully Detached Duplex With Bq,Ikoyi Lagos,50000000.0,4.0,4.0,Ikoyi,duplex,New
Newly Built 4 Bedroom Apartment,Ikoyi Lagos,45000000.0,4.0,4.0,Ikoyi,flat & apartment,New
3 Bedroom Terrace Duplex With Bq,Along Lekki Expressway Lekki Lagos,14000000.0,3.0,3.0,Lekki,duplex,Old
Newly Built 3 Bedroom Maisonette With Bq,Lekki Phase 1 Lekki Lagos,25000000.0,3.0,3.0,Lekki,maisonette,New
Serviced 3 Bedroom Apartment With Bq,Chevron Toll Gate Along Lekki Expressway Lekki Lagos,10000000.0,3.0,3.0,Lekki,flat & apartment,Old
2 Bedroom Terraced Duplex,Ologolo Lekki Lagos,9000000.0,2.0,2.0,Lekki,duplex,Old
8 Bedroom Detached Duplex With Bq,Osborne Foreshore Estate Ikoyi Lagos,40000000.0,8.0,8.0,Ikoyi,duplex,Old
2 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,16000000.0,2.0,2.0,Lekki,flat & apartment,Old
4 Bedroom Terrace Duplex,Happy Land Estate Sangotedo Ajah Lagos,7000000.0,4.0,5.0,Ajah,duplex,Old
Partially Furnished 4 Bedroom Terrace Duplex,Osborne Foreshore Estate Ikoyi Lagos,50000000.0,4.0,4.0,Ikoyi,duplex,Old
4 Bedroom Duplex,Orchid Road Lekki Lagos,9000000.0,4.0,4.0,Lekki,duplex,Old
Newly Built 3 Bedroom Apartment With Bq,Ikate Lekki Lagos,12000000.0,3.0,3.0,Lekki,flat & apartment,New
4 Bedroom Terrace Duplex With Bq,Ikoyi Lagos,35000000.0,4.0,4.0,Ikoyi,duplex,Old
3 Bedroom Flat With Bq,Lekki Phase 1 Lekki Lagos,9000000.0,3.0,3.0,Lekki,flat & apartment,Old
4 Bedroom Maisonette Duplex,Ologolo Lekki Lagos,9000000.0,4.0,4.0,Lekki,duplex,Old
4 Bedroom Maisonette,Ologolo Lekki Lagos,8000000.0,4.0,5.0,Lekki,maisonette,Old
Newly Built 4bedroom Terrace Duplex With Bq,Lekki Phase 1 Lekki Lagos,30000000.0,4.0,4.0,Lekki,duplex,New
3 Bedroom Flat With Bq,Lekki Phase 1 Lekki Lagos,20000000.0,3.0,3.0,Lekki,flat & apartment,Old
1 Bedroom In A Shared Apartment,Igbo Efon Lekki Lagos,1200000.0,1.0,1.0,Lekki,flat & apartment,Old
Renovated 3 Bedroom Flat,Kilo Marsha Surulere Lagos,3000000.0,3.0,2.0,Surulere,flat & apartment,Old
3 Bedroom Apartment,Salawu Off Rande Randle Avenue Surulere Lagos,2000000.0,3.0,2.0,Surulere,flat & apartment,Old
Newly Built Magnificent Four Bedroom Duplex,Sangotedo Monastery Road Sangotedo Lagos,6000000.0,4.0,4.0,Sangotedo,duplex,New
Serviced 3 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,12500000.0,3.0,3.0,Lekki,flat & apartment,Old
4 Bedroom Semi Detached Duplex,Chevron Lekki Lagos,9000000.0,4.0,4.0,Lekki,duplex,Old
Serviced 3 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,14000000.0,3.0,3.0,Lekki,flat & apartment,Old
Furnished 3 Bedroom Flat,Ikate Lekki Lagos,11000000.0,3.0,3.0,Lekki,flat & apartment,Old
3 Bedroom Flat,Lekki Phase 1 Lekki Lagos,16000000.0,3.0,3.0,Lekki,flat & apartment,Old
Partly Service 4 Bedroom Semi Detached Duplex,Osapa London Lekki Lagos,18000000.0,4.0,4.0,Lekki,duplex,Old
Room Self Contained,"East Estate, Agungi, Lekki Lagos",2300000.0,1.0,1.0,Lekki,self-contain,Old
3 Bedroom Apartment,"Banana Island, Ikoyi Lagos",40000000.0,3.0,3.0,Ikoyi,flat & apartment,Old
Newly Built Room Self Contain,Fola Agoro Yaba Lagos,1300000.0,1.0,1.0,Yaba,self-contain,New
Newly Built Mini Flat,Onipan Shomolu Lagos,2000000.0,1.0,1.0,Shomolu,flat & apartment,New
Newly Built Room Self Contain,Palmgroove Shomolu Lagos,1000000.0,1.0,1.0,Shomolu,self-contain,New
Newly Built Mini Flat,Palmgroove Shomolu Shomolu Lagos,1800000.0,1.0,1.0,Shomolu,flat & apartment,New
Newly Built Mini Flat,Pedro Palmgroove Shomolu Lagos,2000000.0,1.0,1.0,Shomolu,flat & apartment,New
Newly Built 2 Bedroom Flat,Alagomeji Alagomeji Yaba Lagos,4000000.0,2.0,2.0,Yaba,flat & apartment,New
Newly Built 2 Bedroom Flat,Alagomeji Alagomeji Yaba Lagos,3000000.0,2.0,2.0,Yaba,flat & apartment,New
Newly Built Room Self Contain,Shomolu Shomolu Shomolu Lagos,950000.0,1.0,1.0,Shomolu,self-contain,New
Newly Built Room Self Contain,Morocco Shomolu Shomolu Lagos,950000.0,1.0,1.0,Shomolu,self-contain,New
Mini Flat,Palm Grove Ikorodu Road(ilupeju) Ilupeju Lagos,2000000.0,1.0,1.0,Ilupeju,flat & apartment,Old
Luxury Furnished 5 Bedroom Fully Detached Duplex + Bq,Osapa London Lekki Lagos,30000000.0,5.0,5.0,Lekki,duplex,Old
Mini Flat,Onipan Ikorodu Road(ilupeju) Ilupeju Lagos,1800000.0,1.0,1.0,Ilupeju,flat & apartment,Old
Newly Built Room Self Contained,Bajulaiye Shomolu Lagos,1000000.0,1.0,1.0,Shomolu,self-contain,New
Newly Built Mini Flat,Fadeyi Jibowu Yaba Lagos,1800000.0,1.0,1.0,Yaba,flat & apartment,New
Newly Built Mini Flat,Onipan Shomolu Shomolu Lagos,2000000.0,1.0,1.0,Shomolu,flat & apartment,New
Neely Built Room Self Contain,Morocco Shomolu Shomolu Lagos,950000.0,1.0,1.0,Shomolu,self-contain,Old
A Room Self Contained,Adekunle Ebute Metta Yaba Lagos,2000000.0,1.0,1.0,Yaba,self-contain,Old
Newly Built Mini Flat,Morocco Shomolu Lagos,1700000.0,1.0,1.0,Shomolu,flat & apartment,New
2 Bedroom Flat,Alagomeji Yaba Lagos,3000000.0,2.0,2.0,Yaba,flat & apartment,Old
1 Bedroom Executive Suite,Keffi Street Off Awolowo Road Ikoyi Lagos,85000.0,1.0,1.0,Ikoyi,,Old
Mini Flat,Fadeyi Jibowu Yaba Lagos,1500000.0,1.0,1.0,Yaba,flat & apartment,Old
A Room Self Contained,Morocco Shomolu Lagos,900000.0,1.0,1.0,Shomolu,self-contain,Old
Newly Built Room Self Contain,Ilaje Bariga Shomolu Lagos,700000.0,1.0,1.0,Shomolu,self-contain,New
Newly Built 2 Bedroom Flat,Alagomeji Yaba Lagos,4000000.0,2.0,2.0,Yaba,flat & apartment,New
Newly Built Mini Flat,Alagomeji Yaba Lagos,2000000.0,1.0,1.0,Yaba,flat & apartment,New
Newly Built 2 Bedroom Flat,Adekunle Ebute Metta Yaba Lagos,3000000.0,2.0,2.0,Yaba,flat & apartment,New
Mini Flat,Fola Agoro Yaba Lagos,2000000.0,1.0,1.0,Yaba,flat & apartment,Old
A Room Self Contained,Fadeyi Jibowu Yaba Lagos,1000000.0,1.0,1.0,Yaba,self-contain,Old
Newly Built 2 Bedroom Flat,Alagomeji Yaba Lagos,3000000.0,2.0,2.0,Yaba,flat & apartment,New
